antibiotic_class,n_exposed,acquisition_rate_exposed,n_unexposed,acquisition_rate_unexposed
glycopeptide,11,0.36363636363636365,3747,0.2930344275420336
lincosamide,6,0.3333333333333333,3752,0.2931769722814499
macrolide,35,0.2857142857142857,3723,0.29331184528605964
fluoroquinolone,96,0.2708333333333333,3662,0.2938285090114691
extended_spectrum_penicillin,49,0.24489795918367346,3709,0.2938797519547048
tetracycline,49,0.24489795918367346,3709,0.2938797519547048
cephalosporin,90,0.24444444444444444,3668,0.29443838604143946
penicillin,23,0.17391304347826086,3735,0.29397590361445786
extended_spectrum_cephalosporin,7,0.14285714285714285,3751,0.2935217275393229
anti_anaerobe,7,0.14285714285714285,3751,0.2935217275393229
anti_Cdiff,8,0.125,3750,0.2936
sulfonamide,58,0.06896551724137931,3700,0.2967567567567568
anti_staph_beta_lactam,4,0.0,3754,0.29355354288758656
carbapenem,0,,3758,0.2932410856838744
